# Region type : faceZone fz_solid_66
# Faces  :    1676
# Area   :    1.017826e-01
# Time        	sum(phi)
20            	-2.516613e-05
40            	-2.799122e-05
60            	-3.644581e-05
80            	-4.579644e-05
100           	-5.576960e-05
120           	-6.636226e-05
140           	-8.557851e-05
160           	-1.035556e-04
180           	-1.270596e-04
200           	-1.591377e-04
220           	-2.018001e-04
240           	-2.541455e-04
260           	-3.126596e-04
280           	-3.764209e-04
300           	-4.490659e-04
320           	-5.207942e-04
340           	-5.715314e-04
360           	-5.929006e-04
380           	-5.883930e-04
400           	-5.751849e-04
420           	-5.654721e-04
440           	-5.642572e-04
460           	-5.709777e-04
480           	-5.833930e-04
500           	-5.989367e-04
520           	-6.156954e-04
540           	-6.322989e-04
560           	-6.480634e-04
580           	-6.628613e-04
600           	-6.766348e-04
620           	-6.895551e-04
640           	-7.017498e-04
660           	-7.132352e-04
680           	-7.241008e-04
700           	-7.343963e-04
720           	-7.440179e-04
740           	-7.526322e-04
760           	-7.602574e-04
780           	-7.670490e-04
800           	-7.732014e-04
820           	-7.790008e-04
840           	-7.846393e-04
860           	-7.901438e-04
880           	-7.955241e-04
900           	-8.006306e-04
920           	-8.054727e-04
940           	-8.099621e-04
960           	-8.140857e-04
980           	-8.178766e-04
1000          	-8.213557e-04
1020          	-8.245573e-04
1040          	-8.274768e-04
1060          	-8.301969e-04
1080          	-8.327337e-04
1100          	-8.351087e-04
1120          	-8.373646e-04
1140          	-8.395650e-04
1160          	-8.417339e-04
1180          	-8.438564e-04
1200          	-8.458880e-04
1220          	-8.477789e-04
1240          	-8.495054e-04
1260          	-8.510062e-04
1280          	-8.523336e-04
1300          	-8.535356e-04
1320          	-8.546074e-04
1340          	-8.556161e-04
1360          	-8.565516e-04
1380          	-8.574243e-04
1400          	-8.582572e-04
1420          	-8.590333e-04
1440          	-8.597685e-04
1460          	-8.604585e-04
1480          	-8.611002e-04
1500          	-8.616938e-04
1520          	-8.622365e-04
1540          	-8.627524e-04
1560          	-8.632241e-04
1580          	-8.636618e-04
1600          	-8.640583e-04
1620          	-8.644310e-04
1640          	-8.647727e-04
1660          	-8.650802e-04
1680          	-8.653645e-04
1700          	-8.656359e-04
1720          	-8.658726e-04
1740          	-8.661017e-04
1760          	-8.663153e-04
1780          	-8.665302e-04
1800          	-8.667255e-04
1820          	-8.669120e-04
1840          	-8.670904e-04
1860          	-8.672626e-04
1880          	-8.674041e-04
1900          	-8.675408e-04
