# Region type : faceZone fz_solid_79
# Faces  :    1646
# Area   :    1.017355e-01
# Time        	sum(phi)
20            	-2.205542e-05
40            	-1.604209e-05
60            	-1.082026e-05
80            	-4.569494e-06
100           	1.015957e-06
120           	5.512308e-06
140           	7.955293e-06
160           	1.051478e-05
180           	1.240311e-05
200           	1.352026e-05
220           	1.389157e-05
240           	1.369635e-05
260           	1.300716e-05
280           	1.194495e-05
300           	1.061728e-05
320           	9.085502e-06
340           	7.394753e-06
360           	5.472790e-06
380           	3.235452e-06
400           	7.164973e-07
420           	-2.372263e-06
440           	-6.107169e-06
460           	-1.061291e-05
480           	-1.573654e-05
500           	-2.127133e-05
520           	-2.683598e-05
540           	-3.212667e-05
560           	-3.686660e-05
580           	-4.074366e-05
600           	-4.355775e-05
620           	-4.507522e-05
640           	-4.523761e-05
660           	-4.404121e-05
680           	-4.201715e-05
700           	-3.980172e-05
720           	-3.798528e-05
740           	-3.700531e-05
760           	-3.750827e-05
780           	-3.998210e-05
800           	-4.498753e-05
820           	-5.265731e-05
840           	-6.248228e-05
860           	-7.272981e-05
880           	-8.154019e-05
900           	-8.777953e-05
920           	-9.133301e-05
940           	-9.239013e-05
960           	-9.197367e-05
980           	-9.069802e-05
1000          	-8.895593e-05
1020          	-8.706496e-05
1040          	-8.510160e-05
1060          	-8.322809e-05
1080          	-8.144146e-05
1100          	-7.970551e-05
1120          	-7.793850e-05
1140          	-7.616182e-05
1160          	-7.438137e-05
1180          	-7.258547e-05
1200          	-7.081408e-05
1220          	-6.905222e-05
1240          	-6.730705e-05
1260          	-6.558960e-05
1280          	-6.390499e-05
1300          	-6.227199e-05
1320          	-6.066054e-05
1340          	-5.909246e-05
1360          	-5.756318e-05
1380          	-5.608777e-05
1400          	-5.467423e-05
1420          	-5.331763e-05
1440          	-5.202482e-05
1460          	-5.080843e-05
1480          	-4.967842e-05
1500          	-4.862705e-05
1520          	-4.766223e-05
1540          	-4.680095e-05
1560          	-4.599994e-05
1580          	-4.527781e-05
1600          	-4.460219e-05
1620          	-4.400903e-05
1640          	-4.346836e-05
1660          	-4.297876e-05
1680          	-4.255497e-05
1700          	-4.219512e-05
1720          	-4.185510e-05
1740          	-4.158047e-05
1760          	-4.134944e-05
1780          	-4.118496e-05
1800          	-4.104814e-05
1820          	-4.094516e-05
1840          	-4.085379e-05
1860          	-4.079923e-05
1880          	-4.072134e-05
1900          	-4.065754e-05
