# Region type : faceZone fz_solid_14
# Faces  :    1729
# Area   :    1.017040e-01
# Time        	sum(phi)
20            	1.394422e-04
40            	1.403276e-04
60            	1.401023e-04
80            	1.364597e-04
100           	1.262961e-04
120           	1.076080e-04
140           	7.605872e-05
160           	4.291276e-05
180           	8.869188e-06
200           	-2.492009e-05
220           	-5.484977e-05
240           	-7.614817e-05
260           	-8.951630e-05
280           	-9.728509e-05
300           	-9.094747e-05
320           	-4.455132e-05
340           	1.798170e-06
360           	2.504414e-05
380           	3.778374e-05
400           	4.606635e-05
420           	5.193842e-05
440           	5.663111e-05
460           	6.401414e-05
480           	7.825430e-05
500           	1.039219e-04
520           	1.374121e-04
540           	1.389054e-04
560           	1.139359e-04
580           	8.244783e-05
600           	6.511763e-05
620           	6.352038e-05
640           	6.230434e-05
660           	6.328040e-05
680           	6.502495e-05
700           	6.704207e-05
720           	6.951550e-05
740           	7.249700e-05
760           	7.600079e-05
780           	7.969196e-05
800           	8.357653e-05
820           	8.765631e-05
840           	9.169845e-05
860           	9.567927e-05
880           	9.949722e-05
900           	1.027701e-04
920           	1.054948e-04
940           	1.074135e-04
960           	1.088043e-04
980           	1.096534e-04
